Name,Frequency,Avg_Popularity,Avg_Revenue
Benjamin Millepied,1,91.285683,327803731.0
Janet Montgomery,1,91.285683,327803731.0
Julie White,4,19.4357835,327699733.25
Daniel Huttlestone,2,57.128912,327356071.0
Julie Araskog,1,79.579532,327311859.0
Henry Cavill,6,63.929587,327235578.1666667
Stephen Colbert,2,37.451259,327211150.0
Rich Sommer,1,83.893257,326551094.0
Bernard Hill,7,29.196001285714285,325297737.28571427
Bobbi Page,1,39.744242,325233863.0
Sage Ryan,1,39.744242,325233863.0
Ron Bottitta,1,39.744242,325233863.0
Amber Gainey Meade,1,39.744242,325233863.0
Hayley Marie Norman,2,36.3273615,324731831.0
Ahmed Best,2,23.360393,324699164.0
Kevin McNally,13,62.66658769230769,324585761.84615386
Garry Shandling,6,36.060161666666666,324042244.8333333
Suraj Sharma,2,34.320289,323662096.0
Peter Dinklage,9,53.912715666666664,322391870.0
Jaimie Alexander,2,71.691226,322285701.0
Jessica Schulte,1,68.757242,321887208.0
Ebonie Smith,1,36.172182,321731527.0
Béatrice Macola,1,104.469351,321365567.0
Shmuel Levy,1,104.469351,321365567.0
Malgorzata Gebel,1,104.469351,321365567.0
Jonathan Sagall,1,104.469351,321365567.0
Lauren Esposito,1,68.794673,320170008.0
Benjamin Haigh,1,68.794673,320170008.0
Patrick McAuley,1,68.794673,320170008.0
Ellen Foley,1,16.742972,320145693.0
Meg Mundy,1,16.742972,320145693.0
Ellen Hamilton Latzen,1,16.742972,320145693.0
Gedeon Burkhard,1,72.595961,319131050.0
Katharine Houghton,1,33.769336,318502923.0
Noah Ringer,1,33.769336,318502923.0
Ben Cooke,1,33.769336,318502923.0
Shannon Kook,1,49.975409,318000141.0
Hayley McFarland,1,49.975409,318000141.0
Kyla Deaver,1,49.975409,318000141.0
Billy Zane,7,25.011518428571428,317466826.85714287
Lisa Eilbacher,1,29.843818,316360478.0
Liesel Matthews,1,36.38795,315156409.0
Peter Facinelli,9,54.038092444444445,315140811.3333333
Katy Perry,3,25.846178666666663,314636819.0
Tabu,2,27.466504,314577700.5
Dan Molina,1,47.973995,314432665.0
Matthew Josten,1,47.973995,314432665.0
Don Knotts,1,47.973995,314432665.0
Sean Elmore,1,47.973995,314432665.0
Emily Nordwind,2,65.2726385,314414439.0
